setname,opponent,season,wonSet,wonMatch,unforcedErrs,earnedPts,serveErr,setErr,attackErr,freeballErr,ace,kill,stuffBlock
170825 CU vs NSULA 3-1s1,NSULA,17,True,True,5,18,4,0,1,0,1,15,2
170825 CU vs NSULA 3-1s2,NSULA,17,False,True,8,19,2,0,4,2,1,13,5
170825 CU vs NSULA 3-1s3,NSULA,17,True,True,7,16,3,0,4,0,1,13,2
170825 CU vs NSULA 3-1s4,NSULA,17,True,True,3,19,0,1,2,0,1,12,6
170916 CU @ CO St 3-2s1,CO St,17,False,True,8,17,6,0,2,0,0,16,1
170916 CU @ CO St 3-2s2,CO St,17,False,True,6,22,3,0,3,0,1,19,2
170916 CU @ CO St 3-2s3,CO St,17,True,True,4,21,2,0,2,0,2,16,3
170916 CU @ CO St 3-2s4,CO St,17,True,True,5,16,2,0,3,0,3,10,3
170916 CU @ CO St 3-2s5,CO St,17,True,True,1,11,1,0,0,0,1,9,1
210205 CU vs Cal 3-2s1,Cal,21S,False,True,7,17,3,0,3,1,3,11,3
210205 CU vs Cal 3-2s2,Cal,21S,True,True,3,20,2,0,1,0,1,16,3
210205 CU vs Cal 3-2s3,Cal,21S,True,True,1,17,0,0,1,0,4,13,0
210205 CU vs Cal 3-2s4,Cal,21S,False,True,9,14,4,1,3,1,0,13,1
210205 CU vs Cal 3-2s5,Cal,21S,True,True,2,12,1,0,1,0,0,9,3
210207 CU vs Cal 3-0s1,Cal,21S,True,True,7,19,2,1,3,1,3,14,2
210207 CU vs Cal 3-0s2,Cal,21S,True,True,3,19,1,1,1,0,2,13,4
210207 CU vs Cal 3-0s3,Cal,21S,True,True,2,21,1,0,1,0,4,15,2
210211 CU @ WA St 1-3s1,WA St,21S,False,False,5,11,2,1,2,0,1,10,0
210211 CU @ WA St 1-3s2,WA St,21S,False,False,6,13,2,0,3,1,1,11,1
210211 CU @ WA St 1-3s3,WA St,21S,True,False,6,17,3,1,2,0,1,10,6
210211 CU @ WA St 1-3s4,WA St,21S,False,False,7,17,3,0,4,0,1,14,2
210213 CU @ WA St 0-3s1,WA St,21S,False,False,6,14,1,1,4,0,1,11,2
210213 CU @ WA St 0-3s2,WA St,21S,False,False,5,14,1,0,4,0,3,11,0
210213 CU @ WA St 0-3s3,WA St,21S,False,False,4,16,1,0,3,0,1,13,2
210219 CU vs WA 2-3s1,WA,21S,True,False,7,19,1,1,5,0,3,13,3
210219 CU vs WA 2-3s2,WA,21S,False,False,4,19,2,0,2,0,1,17,1
210219 CU vs WA 2-3s3,WA,21S,True,False,4,21,0,0,4,0,2,18,1
210219 CU vs WA 2-3s4,WA,21S,False,False,6,19,4,0,2,0,0,15,4
210219 CU vs WA 2-3s5,WA,21S,False,False,4,11,1,0,3,0,0,9,2
210221 CU vs WA 0-3s1,WA,21S,False,False,9,12,2,1,6,0,0,11,1
210221 CU vs WA 0-3s2,WA,21S,False,False,4,14,1,0,3,0,0,13,1
210221 CU vs WA 0-3s3,WA,21S,False,False,5,17,0,0,5,0,0,13,4
210226 CU @ OR 0-3s1,OR,21S,False,False,4,13,1,0,3,0,0,11,2
210226 CU @ OR 0-3s2,OR,21S,False,False,2,15,1,0,1,0,1,13,1
210226 CU @ OR 0-3s3,OR,21S,False,False,1,11,1,0,0,0,1,9,1
